"sample","median_expr","mean_expr","sd_expr","q25","q75","iqr","group","outlier"
"GSM426625",2.65699427476552,2.05122157297465,4.34806883259544,-3.32192809488736,5.12700980660472,8.44893790149208,"Control",FALSE
"GSM426626",2.7115338690704,2.08243753059658,4.3437934914181,-3.32192809488736,5.1445512822404,8.46647937712776,"Control",FALSE
"GSM426627",2.61430653574546,2.0063402624621,4.35407628251302,-3.32192809488736,5.09855114077223,8.42047923565959,"Control",FALSE
"GSM426628",2.67371538290937,2.06865123714351,4.33536026129309,-3.32192809488736,5.13319727563677,8.45512537052413,"Control",FALSE
"GSM426629",2.71183020804029,2.08103525687756,4.3299644539537,-3.32192809488736,5.11606350402475,8.43799159891211,"Control",FALSE
"GSM426630",2.64450892372633,2.03428683136943,4.35432047098161,-3.32192809488736,5.12215220834422,8.44408030323158,"Control",FALSE
"GSM426631",2.64451272055669,2.04160244658956,4.35017276593692,-3.32192809488736,5.13662888733329,8.45855698222065,"Control",FALSE
"GSM426632",2.65505569880062,2.04084101038758,4.35739136760357,-3.32192809488736,5.1329719489141,8.45490004380146,"Control",FALSE
"GSM426633",2.64878661974786,2.03425497247145,4.35655645330158,-3.32192809488736,5.14642974587173,8.46835784075909,"Control",FALSE
"GSM426634",2.6521903464234,2.04792161989133,4.35973949146302,-3.32192809488736,5.15167568824743,8.47360378313479,"Control",FALSE
"GSM426635",2.66519853866586,2.07388946437332,4.34912422401975,-3.32192809488736,5.17070434498334,8.49263243987071,"Control",FALSE
"GSM426636",2.61577773776655,2.0067851743943,4.35986866211921,-3.32192809488736,5.11208622924352,8.43401432413088,"Control",FALSE
"GSM426637",2.59557956348333,1.9931618866873,4.36132793538591,-3.32192809488736,5.10100180399259,8.42292989887996,"Control",FALSE
"GSM426638",2.65505876780759,2.04331999484841,4.34570871625589,-3.32192809488736,5.09712416123869,8.41905225612605,"Control",FALSE
"GSM426639",2.56767271907995,1.97376461665621,4.37586773567191,-3.32192809488736,5.12239338605447,8.44432148094184,"Control",FALSE
"GSM426640",2.63351432379918,2.03154270219197,4.35137762791479,-3.32192809488736,5.12243323723284,8.4443613321202,"RRMS",FALSE
"GSM426641",2.66214954435728,2.05698317766378,4.34539352763879,-3.32192809488736,5.11712566383781,8.43905375872517,"RRMS",FALSE
"GSM426642",2.62735084203919,2.03034774967944,4.35239348976394,-3.32192809488736,5.11969904910278,8.44162714399014,"RRMS",FALSE
"GSM426643",2.68268051642998,2.07474235824451,4.33754283730458,-3.32192809488736,5.12215212739491,8.44408022228227,"RRMS",FALSE
"GSM426644",2.70255968413807,2.09345267680743,4.33018796060875,-3.32192809488736,5.13604226005849,8.45797035494585,"RRMS",FALSE
"GSM426645",2.71761424442301,2.0918832888608,4.33948127274584,-3.32192809488736,5.14166626232257,8.46359435720993,"RRMS",FALSE
"GSM426646",2.59473353134305,1.99030193511127,4.37349714838551,-3.32192809488736,5.1195237182667,8.44145181315406,"RRMS",FALSE
"GSM426647",2.68013348521543,2.06389629600665,4.35038704889666,-3.32192809488736,5.15049356194616,8.47242165683352,"RRMS",FALSE
"GSM426648",2.62943192561853,2.02537253236031,4.36132942000743,-3.32192809488736,5.13801250803093,8.45994060291829,"RRMS",FALSE
"GSM426649",2.67571520050061,2.07209175385112,4.33981585940948,-3.32192809488736,5.13670090385049,8.45862899873786,"RRMS",FALSE
"GSM426650",2.64640669578571,2.03530659894174,4.34153385052374,-3.32192809488736,5.09060692330305,8.41253501819041,"RRMS",FALSE
"GSM426651",2.62085931971139,2.0252371458594,4.348443479933,-3.32192809488736,5.09667667984093,8.41860477472829,"RRMS",FALSE
"GSM426652",2.64946244423504,2.04938586751496,4.36749908426475,-3.32192809488736,5.16494794129464,8.486876036182,"RRMS",FALSE
"GSM426653",2.64411457679658,2.05208907798829,4.37834421738572,-3.32192809488736,5.20236236430525,8.52429045919261,"RRMS",FALSE
"GSM426654",2.71437158218618,2.11376631307971,4.35102706775149,-3.32192809488736,5.20262194484566,8.52455003973302,"RRMS",FALSE
"GSM426655",2.61097744484062,2.00680834519534,4.36080657694167,-3.32192809488736,5.11323642545396,8.43516452034132,"RRMS",FALSE
"GSM426656",2.7076535031911,2.08152910052842,4.33030414778063,-3.32192809488736,5.12077130310743,8.4426993979948,"RRMS",FALSE
"GSM426657",2.6827858442428,2.07226445342554,4.33483976097255,-3.32192809488736,5.11898237955068,8.44091047443804,"RRMS",FALSE
"GSM426658",2.67148564254851,2.04690487846846,4.35171881341829,-3.32192809488736,5.12784145679682,8.44976955168418,"RRMS",FALSE
"GSM426659",2.58477778340861,1.98911708549171,4.36437936398656,-3.32192809488736,5.10628486874394,8.4282129636313,"RRMS",FALSE
"GSM426660",2.64017365801677,2.02605051236393,4.35063730471194,-3.32192809488736,5.10432051161497,8.42624860650233,"RRMS",FALSE
"GSM426661",2.70910675754268,2.0853816246235,4.34030545830282,-3.32192809488736,5.1506569068276,8.47258500171496,"RRMS",FALSE
